external_id,country_id,code,name
"state_ca_1","can","AB", "Alberta"
"state_ca_2","can","BC", "British Columbia"
"state_ca_3","can","MB", "Manitoba"
"state_ca_4","can","NB", "New Brunswick"
"state_ca_5","can","NL", "Newfoundland and Labrador"
"state_ca_6","can","NS", "Nova Scotia"
"state_ca_7","can","ON", "Ontario"
"state_ca_8","can","PE", "Prince Edward Island"
"state_ca_9","can","QC", "Quebec"
"state_ca_10","can","SK", "Saskatchewan"
"state_ca_11","can","NT", "Northwest Territories"
"state_ca_12","can","NU", "Nunavut"
"state_ca_13","can","YT", "Yukon"
