external_id,country_id,code,name
"state_cn_1","cn","11","Beijing"
"state_cn_2","cn","12","Tianjin"
"state_cn_3","cn","13","Hebei"
"state_cn_4","cn","14","Shanxi"
"state_cn_5","cn","15","Nei Mongol (mn)"
"state_cn_6","cn","21","Liaoning"
"state_cn_7","cn","22","Jilin"
"state_cn_8","cn","23","Heilongjiang"
"state_cn_9","cn","31","Shanghai"
"state_cn_10","cn","32","Jiangsu"
"state_cn_11","cn","33","Zhejiang"
"state_cn_12","cn","34","Anhui"
"state_cn_13","cn","35","Fujian"
"state_cn_14","cn","36","Jiangxi"
"state_cn_15","cn","37","Shandong"
"state_cn_16","cn","41","Henan"
"state_cn_17","cn","42","Hubei"
"state_cn_18","cn","43","Hunan"
"state_cn_19","cn","44","Guangdong"
"state_cn_20","cn","45","Guangxi"
"state_cn_21","cn","46","Hainan"
"state_cn_22","cn","50","Chongqing"
"state_cn_23","cn","51","Sichuan"
"state_cn_24","cn","52","Guizhou"
"state_cn_25","cn","53","Yunnan"
"state_cn_26","cn","54","Xizang"
"state_cn_27","cn","61","Shaanxi"
"state_cn_28","cn","62","Gansu"
"state_cn_29","cn","63","Qinghai"
"state_cn_30","cn","64","Ningxia"
"state_cn_31","cn","65","Xinjiang"
"state_cn_32","cn","71","Taiwan"
"state_cn_33","cnn","91","Hong Kong"
"state_cn_34","cn","92","Macao"
